14-3811329,Bale,MacKintosh,47,744,executive vice president of sales,novice,13,bmackintosh0@answers.com,356-811-4853,4674 Mifflin Way,Ruble,RUB,$780.86 ,2.02E+14,8-May-17,31-Dec-99,TRUE
63-8657388,Ferne,Dewicke,61,793,sales representative,novice,6,fdewicke1@jimdo.com,898-733-4818,45 Comanche Center,Euro,EUR,$899.28 ,4.02E+15,26-Feb-17,31-Dec-99,TRUE
26-2757008,Hilde,Gaskins,34,702,executive vice president of sales,experienced,4,hgaskins2@guardian.co.uk,841-718-9999,1461 Coolidge Street,Dinar,RSD,699.95,3.56E+15,20-Jun-17,31-Dec-99,TRUE
70-8535583,Kennith,Trever,42,79,executive vice president of sales,experienced,10,ktrever3@harvard.edu,154-871-4748,11 Bellgrove Place,Real,BRL,$985.50 ,3.57E+15,14-Mar-17,31-Dec-99,TRUE
74-6771923,Rockey,Andrusyak,63,710,director of inside sales,middle,3,randrusyak4@trellian.com,586-796-4529,3 Lakewood Gardens Hill,Real,BRL,$499.27 ,3.55E+15,24-Jul-17,31-Dec-99,TRUE
51-2081862,Tabbie,Dimitriades,39,617,store manager,expert,8,tdimitriades5@ft.com,621-631-1560,58205 Northview Lane,Euro,EUR,$631.63 ,3.56E+15,28-Mar-17,31-Dec-99,TRUE
72-5179559,Muhammad,Broughton,38,875,store manager,experienced,3,mbroughton6@hp.com,694-983-0432,38 Lake View Circle,Bolivar,VEF,$737.79 ,3.55E+15,8-Apr-17,31-Dec-99,TRUE
85-4669615,Herby,Nekrews,50,444,assistant store manager,novice,13,hnekrews7@state.gov,219-977-1345,9750 Talisman Place,Dinar,LYD,$408.63 ,3.56E+15,22-Apr-17,31-Dec-99,TRUE
09-5428476,Jermaine,MacFayden,59,409,director of inside sales,middle,7,jmacfayden8@deliciousdays.com,194-790-2753,293 Artisan Court,Rupiah,IDR,$570.36 ,3.53E+15,2-Jul-17,31-Dec-99,TRUE
39-7359092,Marylynne,Gabits,50,757,director of national sales,novice,9,mgabits9@netvibes.com,379-366-1022,3 Pankratz Park,Euro,EUR,$542.52 ,3.54E+15,14-May-17,31-Dec-99,TRUE
99-2874996,Adolf,Dourin,38,192,director of national sales,novice,11,adourina@about.me,135-115-9395,06 American Place,Vatu,VUV,$352.47 ,3.59E+15,2-Jun-17,31-Dec-99,TRUE
96-1423524,Reina,McCambrois,34,342,store manager,middle,11,rmccambroisb@github.com,303-935-2056,6 Washington Trail,Ruble,BYR,$589.86 ,6.33E+18,21-Jun-17,31-Dec-99,TRUE
03-3945144,Jennilee,Strathe,27,973,sales director,novice,5,jstrathec@ft.com,277-921-8088,85 Swallow Crossing,Tugrik,MNT,$528.60 ,3.38E+14,7-Feb-17,31-Dec-99,TRUE
97-2667744,Mathe,Levens,47,345,financial planner,expert,11,mlevensd@lycos.com,945-304-9967,771 Parkside Way,Dollar,ZWL,$522.18 ,3.54E+15,23-Jul-17,31-Dec-99,TRUE
47-0574154,Hildegaard,Bovingdon,42,62,sales associate,novice,6,hbovingdone@cargocollective.com,533-383-1337,0871 Crest Line Hill,Real,BRL,$462.35 ,5.23E+15,12-Jun-17,31-Dec-99,TRUE
44-1831859,Pate,Kolyagin,21,695,financial advisor,novice,13,pkolyaginf@sfgate.com,176-907-6382,2216 Service Point,Peso,MXN,$622.74 ,3.55E+15,5-May-17,31-Dec-99,TRUE
28-7348687,Vanya,Danzelman,26,697,director of inside sales,novice,13,vdanzelmang@sciencedaily.com,819-238-8261,4 Hauk Center,Peso,ARS,$722.52 ,4.91E+15,4-Aug-17,31-Dec-99,TRUE
08-0277538,Tad,Faulconbridge,27,301,sales associate,middle,15,tfaulconbridgeh@prweb.com,146-150-2280,551 Lunder Hill,Ruble,RUB,$516.04 ,3.56E+15,22-Oct-17,31-Dec-99,TRUE
02-7047589,Chrissie,Sewley,55,259,sales representative,middle,13,csewleyi@histats.com,781-120-8062,85 Fulton Crossing,Leu,MDL,$575.15 ,5.60E+17,18-Dec-16,31-Dec-99,TRUE
26-9853390,Pavlov,Trevan,30,437,store manager,middle,2,ptrevanj@mashable.com,291-865-3298,8 Springs Pass,Rial,YER,$855.54 ,3.05E+13,19-Oct-17,31-Dec-99,TRUE
06-5176316,Kippie,Phipard-Shears,27,707,retail sales consultant,expert,8,kphipardshearsk@qq.com,180-503-0907,866 Hoepker Drive,Metical,MZN,$951.67 ,3.55E+15,8-Feb-17,31-Dec-99,TRUE
32-3703279,Janetta,Corre,48,358,sales representative,middle,6,jcorrel@gov.uk,237-388-9472,3254 Oak Trail,Yen,JPY,$980.00 ,5.64E+17,9-Jun-17,31-Dec-99,TRUE
00-5948710,Had,Chapman,54,169,assistant store manager,experienced,6,hchapmanm@dmoz.org,792-409-5431,7 Reinke Parkway,Peso,PHP,$433.82 ,6.77E+17,15-Sep-17,31-Dec-99,TRUE
13-9700232,Sharity,Ritch,28,483,sales associate,middle,6,sritchn@xinhuanet.com,753-225-3486,76 Carioca Junction,Euro,EUR,$660.56 ,6.76E+17,4-Mar-17,31-Dec-99,TRUE
24-7587026,Georges,Tooby,34,785,director of inside sales,experienced,12,gtoobyo@gravatar.com,567-710-8559,5 Rieder Circle,Dollar,CAD,$456.04 ,3.56E+15,27-Sep-17,31-Dec-99,TRUE
71-7500033,Pattie,McCrainor,36,805,director of inside sales,experienced,9,pmccrainorp@storify.com,445-354-5871,5 Bluejay Junction,Yuan Renminbi,CNY,$739.03 ,3.54E+15,4-Apr-17,31-Dec-99,TRUE
77-6628754,Clemmie,Barmadier,26,513,director of inside sales,middle,1,cbarmadierq@1688.com,309-470-7168,70007 Buhler Pass,Peso,PHP,$526.84 ,4.51E+15,27-Feb-17,31-Dec-99,TRUE
73-4120527,Clarita,Liveing,18,841,retail sales consultant,middle,3,cliveingr@geocities.jp,711-845-3509,02171 Center Place,Dollar,USD,$437.88 ,5.57E+15,28-Nov-16,31-Dec-99,TRUE
91-4528274,Bryn,Riggott,54,580,financial planner,experienced,10,briggotts@youku.com,214-450-4962,64 Ilene Way,Yuan Renminbi,CNY,$624.42 ,5.00E+15,10-Sep-17,31-Dec-99,TRUE
