06-6497989,Launce,Merveille,32,996,director of national sales,expert,3,lmerveille0@skyrock.com,562-248-8096,4 Esch Lane,Sol,PEN,975.37,5.01E+15,26-Feb-17,31-Dec-99,TRUE
50-8786075,Tara,Bullock,57,95,sales representative,expert,10,tbullock1@deviantart.com,695-833-1880,571 Nevada Center,Litas,LTL,709.81,5.60E+16,30-Oct-17,31-Dec-99,TRUE
32-7503517,Jeana,Renn,63,693,financial planner,expert,12,jrenn2@miibeian.gov.cn,484-141-8421,854 Butterfield Crossing,Pound,EGP,991.87,3.57E+15,11-Jan-17,31-Dec-99,TRUE
89-5823999,Horacio,Cudbird,53,161,store manager,experienced,14,hcudbird3@foxnews.com,706-164-0367,6 Daystar Way,Krona,SEK,730.26,6.05E+14,14-Apr-17,31-Dec-99,TRUE
66-2014748,Steward,Sugg,37,960,assistant store manager,experienced,6,ssugg4@rakuten.co.jp,643-456-5240,3 Redwing Place,Peso,PHP,930.13,3.56E+15,19-Apr-17,31-Dec-99,TRUE
66-5795222,Marlene,Dagnan,33,370,sales representative,middle,7,mdagnan5@seattletimes.com,347-776-4857,8 Graceland Crossing,Yuan Renminbi,CNY,773.68,3.58E+15,30-Jan-17,31-Dec-99,TRUE
32-5605126,Paulette,Hendrick,47,110,sales representative,novice,15,phendrick6@nps.gov,314-322-5062,528 Hayes Point,Nakfa,ERN,618.24,3.56E+15,2-Apr-17,31-Dec-99,TRUE
47-5229559,Merrill,Alben,23,446,director of national sales,novice,1,malben7@mapy.cz,828-555-7470,95 Jenna Road,Rupiah,IDR,415.16,3.56E+15,14-Sep-17,31-Dec-99,TRUE
82-1728510,Galvan,Ladd,56,94,financial planner,novice,8,gladd8@marketwatch.com,227-446-3641,568 Clyde Gallagher Court,Franc,XAF,663.69,5.61E+15,8-May-17,31-Dec-99,TRUE
68-3313694,Christen,Seakings,52,563,sales coordinator,expert,1,cseakings9@ted.com,615-288-6873,145 Sloan Road,Yuan Renminbi,CNY,645.91,3.54E+15,22-Jun-17,31-Dec-99,TRUE
76-7374635,Horatia,Kaufman,19,466,assistant store manager,expert,11,hkaufmana@homestead.com,494-790-3008,6 High Crossing Avenue,Rupiah,IDR,742.21,3.54E+15,28-Dec-16,31-Dec-99,TRUE
15-9294986,Carmelia,Rubee,54,711,financial advisor,experienced,15,crubeeb@webeden.co.uk,328-601-0900,3248 Darwin Alley,Zloty,PLN,616.57,6.38E+15,9-Oct-17,31-Dec-99,TRUE
32-1555245,Ambrosi,Louedey,29,357,retail sales consultant,experienced,4,alouedeyc@merriam-webster.com,807-993-3521,954 Granby Way,Tugrik,MNT,974.79,5.61E+18,10-Jun-17,31-Dec-99,TRUE
74-7209014,Diannne,Chillcot,20,738,sales director,novice,14,dchillcotd@redcross.org,840-511-4046,28464 Maple Wood Plaza,Baht,THB,718.88,6.76E+15,24-Aug-17,31-Dec-99,TRUE
36-8691380,Arlee,Leveridge,31,42,director of national sales,expert,15,aleveridgee@taobao.com,918-506-2684,248 Ludington Hill,Yuan Renminbi,CNY,645.23,3.59E+15,30-Nov-16,31-Dec-99,TRUE
47-1489027,Kaleena,Goldhawk,28,12,account executive,novice,4,kgoldhawkf@upenn.edu,820-282-4630,7418 Sutteridge Court,Yuan Renminbi,CNY,922.98,6.76E+18,17-Jun-17,31-Dec-99,TRUE
87-2214254,Krystalle,Dyball,18,112,financial advisor,experienced,12,kdyballg@twitter.com,271-931-8317,28 Morning Street,Dollar,CAD,572.77,3.58E+15,1-Jan-17,31-Dec-99,TRUE
89-3127793,Korry,Bauduin,54,172,account executive,novice,1,kbauduinh@omniture.com,533-154-4254,35 Bay Place,Hryvnia,UAH,617.89,3.54E+15,23-Mar-17,31-Dec-99,TRUE
